iter	RMSE
153	2.507701714
154	2.497154982
155	2.487335482
156	2.472640106
157	2.462441074
158	2.455575208
159	2.448430329
160	2.439702951
161	2.429130945
162	2.418754595
163	2.408812053
164	2.396245467
165	2.387067225
166	2.375760085
167	2.367147825
168	2.35749127
169	2.345980003
170	2.337993593
171	2.331066079
172	2.321897465
173	2.313278216
174	2.30076937
175	2.294803513
176	2.286429537
177	2.275055125
178	2.261931062
179	2.248160303
180	2.237541606
181	2.229167354
182	2.218129382
183	2.209178975
184	2.200162009
185	2.191790984
186	2.181852105
187	2.175759621
188	2.168508116
189	2.161619945
190	2.152013508
191	2.140186455
192	2.131898468
193	2.125231451
194	2.11552787
195	2.109989055
196	2.100696567
197	2.091401244
198	2.082816793
199	2.077757064
200	2.068813004
201	2.064249879
202	2.057521133
203	2.05015537
204	2.043393859
205	2.033722989
206	2.027223993
207	2.018562919
208	2.01071204
209	1.998979079
210	1.993550353
211	1.986138908
212	1.980705027
213	1.977875391
214	1.974517259
215	1.965687273
216	1.955451569
217	1.950474962
218	1.945537133
219	1.941742004
220	1.93683775
221	1.927544395
222	1.91766869
223	1.911745052
224	1.899846367
225	1.893625741
226	1.888149864
227	1.883544188
228	1.879989608
229	1.86940471
230	1.86576843
231	1.854986123
232	1.849852078
233	1.845910557
234	1.835028201
235	1.826663008
236	1.817380637
237	1.810246958
238	1.80082358
239	1.792993189
240	1.788740161
241	1.78670341
242	1.778320811
243	1.77196519
244	1.761247463
245	1.752942816
246	1.746652827
247	1.741546793
248	1.738847105
249	1.733935769
250	1.726061936
251	1.719616229
252	1.71294936
253	1.705472287
254	1.700074477
255	1.695184444
256	1.692755337
257	1.682982541
258	1.678836481
259	1.671319342
260	1.666960221
261	1.662649296
262	1.660734935
263	1.657765946
264	1.655398592
265	1.65227715
266	1.644114811
267	1.638498282
268	1.630526512
269	1.623208143
270	1.618321241
271	1.616248284
272	1.6088635
273	1.601667328
274	1.595390569
275	1.589858247
276	1.587636419
277	1.582290048
278	1.573948768
279	1.56743723
280	1.562182735
281	1.557516088
282	1.551723919
283	1.549294164
284	1.543939824
285	1.538798453
286	1.533796785
287	1.525677599
288	1.517682001
289	1.51126803
290	1.505271344
291	1.501709737
292	1.500042899
293	1.492261104
294	1.486366376
295	1.484803649
296	1.479615254
297	1.477596773
298	1.471477949
299	1.464881561
300	1.463090931
301	1.457970897
302	1.454234885
303	1.450839611
304	1.447639019
305	1.442843417
306	1.441308626
307	1.437110106
308	1.432035251
309	1.430570177
310	1.426100383
311	1.418867144
312	1.416152706
313	1.415274482
314	1.41442083
315	1.408542097
316	1.406054631
317	1.404536572
318	1.398311343
319	1.394404436
320	1.389556504
321	1.383913869
322	1.378457088
323	1.372730659
324	1.36854606
325	1.364940331
326	1.36057559
327	1.359312055
328	1.358169969
329	1.353291864
330	1.349696955
331	1.344704359
332	1.339116612
333	1.338274094
334	1.334271105
335	1.333434411
336	1.332405398
337	1.325352271
338	1.321188911
339	1.317303018
340	1.313864986
341	1.310150933
342	1.306365126
343	1.303215064
344	1.302481559
345	1.296174684
346	1.293166608
347	1.290028142
348	1.28665558
349	1.283398204
350	1.278190108
351	1.274008488
352	1.273073934
353	1.270659016
354	1.267244223
355	1.26339797
356	1.262333378
357	1.259247311
358	1.254165661
359	1.252178289
360	1.250449696
361	1.248258887
362	1.245822326
363	1.243516503
364	1.238240662
365	1.233646728
366	1.232129199
367	1.230257252
368	1.225816496
369	1.22481847
370	1.223416071
371	1.218877968
372	1.215216518
373	1.212102003
374	1.207719508
375	1.205774772
376	1.205008486
377	1.199132252
378	1.198093218
379	1.197369404
380	1.196623782
381	1.191770727
382	1.186784322
383	1.181993227
384	1.180229531
385	1.175660239
386	1.171337577
387	1.167487268
388	1.166839402
389	1.162842039
390	1.15848081
391	1.15503615
392	1.153875574
393	1.152703301
394	1.147865664
395	1.141619327
396	1.139209969
397	1.135780137
398	1.133727566
399	1.131634786
400	1.128627776
401	1.125949111
402	1.124780692
403	1.122456083
404	1.119093238
405	1.113267815
406	1.10917278
407	1.104978535
408	1.103013164
409	1.100573723
410	1.099999925
411	1.096698405
412	1.095989392
413	1.092744919
414	1.0891822
415	1.085972967
416	1.083614832
417	1.079988259
418	1.078786898
419	1.077714659
420	1.077250418
421	1.074572733
422	1.072217368
423	1.069121674
424	1.065099236
425	1.062164554
426	1.057994715
427	1.057332461
428	1.053204392
429	1.049007108
430	1.047559267
431	1.045265269
432	1.041963063
433	1.038884132
434	1.036587681
435	1.032786797
436	1.029752806
437	1.028078782
438	1.025197058
439	1.024868603
440	1.024154251
441	1.020640719
442	1.019462168
443	1.016142428
444	1.013677126
445	1.010655757
446	1.006795713
447	1.006372611
448	1.00579961
449	1.002723774
450	0.9999828277
451	0.9989405626
452	0.9948948132
453	0.9944526627
454	0.9926446452
455	0.9893593342
456	0.9850755095
457	0.9847013346
458	0.9835958021
459	0.9831775701
460	0.9790693048
461	0.9751252148
462	0.9732967452
463	0.9728246951
464	0.9703682736
465	0.9698082738
466	0.9657628834
467	0.961438066
468	0.9584643681
469	0.9579671644
470	0.9555596957
471	0.9516882099
472	0.9480981106
473	0.9468891909
474	0.9453325152
475	0.9445122946
476	0.9421479734
477	0.9385932949
478	0.9356950588
479	0.9309382577
480	0.9284809031
481	0.9261463418
482	0.9223317309
483	0.9219923131
484	0.919906124
485	0.9159576721
486	0.9124882586
487	0.9121875612
488	0.9092465902
489	0.9087352319
490	0.9083430284
491	0.9048182553
492	0.9042163915
493	0.9017274025
494	0.9014032292
495	0.9005921076
496	0.896834638
497	0.8939471368
498	0.889531737
499	0.8854589015
500	0.8826475887
501	0.879663553
502	0.8761234811
503	0.8733219287
504	0.8729141103
505	0.8726135135
506	0.8691760522
507	0.8661862693
508	0.864599155
509	0.8637539328
510	0.8629165014
511	0.8590280737
512	0.8585931857
513	0.8558408493
514	0.8541496904
515	0.8516477846
516	0.8496586487
517	0.8465151977
518	0.8462485676
519	0.8458977838
520	0.8435594024
521	0.8409096453
522	0.8402603907
523	0.8370906538
524	0.8350060445
525	0.8347040473
526	0.8324465563
527	0.8280825785
528	0.8247752994
529	0.8234724923
530	0.823102052
531	0.8185756747
532	0.8167427237
533	0.8127510307
534	0.8124306868
535	0.8091716033
536	0.8088566513
537	0.8085061611
538	0.808129153
539	0.8066319253
540	0.8051717835
541	0.8026931747
542	0.802492747
543	0.8012218996
544	0.7990833713
545	0.797548793
546	0.7969242884
547	0.7937217989
548	0.79155793
549	0.7913269279
550	0.7905437591
551	0.7885361385
552	0.7883225148
553	0.7878953019
554	0.7853397474
555	0.7831021007
556	0.7827892882
557	0.781175465
558	0.7772802755
559	0.7727407068
560	0.7717868089
561	0.7690009697
562	0.7646479118
563	0.7604227662
564	0.7580046123
565	0.7563551016
566	0.7532710594
567	0.7529308787
568	0.7521228944
569	0.7503313819
570	0.7471628573
571	0.7457671783
572	0.7450733422
573	0.7445188815
574	0.7443089539
575	0.743087127
576	0.7428565069
577	0.7410152313
578	0.7394027874
579	0.7366777369
580	0.7352420023
581	0.7337897634
582	0.7322040061
583	0.7307213748
584	0.727837884
585	0.7251499161
586	0.7241175033
587	0.7227676908
588	0.7224179214
589	0.7199291081
590	0.7197229776
591	0.7192251252
592	0.7177739408
593	0.7143753309
594	0.7122432775
595	0.7115260901
596	0.7112969521
597	0.7098472386
598	0.7091222116
599	0.7088752514
600	0.7076765355
601	0.7074280944
602	0.7047070021
603	0.7027197277
604	0.6997889325
605	0.6977943187
606	0.6948639289
607	0.6943049791
608	0.6941093259
609	0.6921844083
610	0.6891770598
611	0.6874503058
612	0.6852551985
613	0.6837451948
614	0.6834687754
615	0.6817297314
616	0.6808975667
617	0.6807074175
618	0.6803264682
619	0.6776121567
620	0.6769881624
621	0.6759104837
622	0.6725384342
623	0.6708976892
624	0.6679461666
625	0.6662649629
626	0.6645872179
627	0.6627729509
628	0.661058475
629	0.6604330011
630	0.657984631
631	0.6567833372
632	0.6548939542
633	0.6544474626
634	0.6517343404
635	0.6515778553
636	0.6496630912
637	0.647596369
638	0.6465707469
639	0.6453745508
640	0.6451366946
641	0.64477999
642	0.642342934
643	0.6403974625
644	0.6401360925
645	0.6381393237
646	0.6377849151
647	0.6359884715
648	0.6336282633
649	0.630866408
650	0.6303449098
651	0.6282255453
652	0.627463353
653	0.6259906571
654	0.6254675067
655	0.6236837817
656	0.6224577267
657	0.6222136618
658	0.6206824806
659	0.6185227953
660	0.6167149287
661	0.6142993566
662	0.613331052
663	0.6129395317
664	0.6122592218
665	0.6109106789
666	0.6084149066
667	0.6082267085
668	0.6059686367
669	0.6045776005
670	0.603491462
671	0.6029670543
672	0.6013218259
673	0.6011809268
674	0.5983505676
675	0.5951489255
676	0.5934449632
677	0.5919607067
678	0.5910676692
679	0.5896545055
680	0.5883150897
681	0.5862531004
682	0.5859109094
683	0.5857496908
684	0.5849687803
685	0.5839037843
686	0.5837446019
687	0.5819432075
688	0.5809872671
689	0.580425217
690	0.5799305978
691	0.5798188794
692	0.5796221712
693	0.5791452674
694	0.5765961906
695	0.5742527347
696	0.573162808
697	0.5713328797
698	0.5696922434
699	0.5678831171
700	0.5663010698
701	0.5643903098
702	0.5638150847
703	0.5615691808
704	0.5607556887
705	0.5606309999
706	0.5605034495
707	0.5603641443
708	0.5602113725
709	0.5592366359
710	0.5568036734
711	0.5552168414
712	0.5549954511
713	0.554171378
714	0.5523796922
715	0.5508616392
716	0.5500420036
717	0.5473355323
718	0.5470021374
719	0.5447933472
720	0.5446701059
721	0.5440595039
722	0.5419260951
723	0.5402305174
724	0.5384004083
725	0.5382048692
726	0.5380811423
727	0.5367194353
728	0.5353572968
729	0.534108908
730	0.5322382173
731	0.5306153817
732	0.527271658
733	0.5254879493
734	0.5228904684
735	0.5227569232
736	0.5226456659
737	0.5204046589
738	0.5202105889
739	0.518618309
740	0.5177825487
741	0.5157361537
742	0.5133144856
743	0.5131576295
744	0.5112493335
745	0.5104955182
746	0.5084544907
747	0.5064829232
748	0.5048125488
749	0.5042562456
750	0.5034517195
751	0.5032314135
752	0.5018920024
753	0.500112798
754	0.4982890906
755	0.4981854315
756	0.4970663032
757	0.4948017339
758	0.4933165367
759	0.4928834741
760	0.4920505442
761	0.4910659404
762	0.4907211963
763	0.489987551
764	0.4889198453
765	0.4881912128
766	0.4859687921
767	0.4846145714
768	0.4828199801
769	0.4811894764
770	0.4794082775
771	0.478234421
772	0.4781240294
773	0.4780192111
774	0.4766162786
775	0.4757075436
776	0.4737633207
777	0.4733001552
778	0.4725603422
779	0.472446325
780	0.4715621307
781	0.4705627634
782	0.4690869285
783	0.4673765536
784	0.4665270576
785	0.4646822734
786	0.4631389455
787	0.4607506963
788	0.4593431922
789	0.4577478644
790	0.457197572
791	0.4557783374
792	0.4540019009
793	0.451604904
794	0.4512807985
795	0.4492197056
796	0.4479232896
797	0.4478283911
798	0.4472960214
799	0.4459859846
800	0.4444986437
801	0.4424693702
802	0.4411803166
803	0.4401168926
804	0.4387596888
805	0.4371781383
806	0.4359702316
807	0.4345302467
808	0.4337962877
809	0.4333852161
810	0.4324957716
811	0.4304897666
812	0.4288497976
813	0.4272629092
814	0.4255693605
815	0.4247094177
816	0.423461787
817	0.4228998965
818	0.4214409192
819	0.4213021225
820	0.4204659349
821	0.4191755433
822	0.4182023771
823	0.416822697
824	0.4152297855
825	0.4135026947
826	0.4125701191
827	0.4111689143
828	0.4101639184
829	0.4089427002
830	0.4078491387
831	0.4059559648
832	0.4040340818
833	0.4023407729
834	0.4004916693
835	0.3988967424
836	0.3981161073
837	0.3978638555
838	0.3966801572
839	0.3952754392
840	0.3943332844
841	0.3937912592
842	0.3935310982
843	0.3925334364
844	0.3911033897
845	0.3896789157
846	0.3885899914
847	0.3873260603
848	0.3860886846
849	0.3851497066
850	0.3845486721
851	0.3843881287
852	0.3837095598
853	0.3824019086
854	0.3812582574
855	0.3799505654
856	0.3785063551
857	0.3773254055
858	0.3770224955
859	0.376570422
860	0.3758037431
861	0.3745484032
862	0.3742203145
863	0.374166425
864	0.3734940545
865	0.372466988
866	0.3720411959
867	0.370923474
868	0.3697306866
869	0.36792727
870	0.3673739364
871	0.3670589534
872	0.3664689721
873	0.3657586721
874	0.3653621327
875	0.3646523566
876	0.3641235975
877	0.3633640899
878	0.362624848
879	0.3615918358
880	0.3601371831
881	0.3595558427
882	0.3575198448
883	0.3564575789
884	0.3559758747
885	0.3550225941
886	0.3544705408
887	0.3537843664
888	0.352131732
889	0.3508907431
890	0.3494711557
891	0.3485829554
892	0.3480288826
893	0.3473272656
894	0.3468851702
895	0.3460262846
896	0.3451189778
897	0.3443925347
898	0.3432871691
899	0.3427114499
900	0.3419093169
901	0.3409877873
902	0.3408895234
903	0.3397752302
904	0.3384882862
905	0.3376512977
906	0.3364756165
907	0.335668851
908	0.3348113159
909	0.3335336094
910	0.3324648451
911	0.3324079963
912	0.3312280722
913	0.3304395402
914	0.3298484511
915	0.3285081811
916	0.3280149424
917	0.326505707
918	0.3256259441
919	0.3243419181
920	0.3231836066
921	0.3228564963
922	0.3215535666
923	0.3205738993
924	0.3197480689
925	0.3189565728
926	0.3183212293
927	0.3169843204
928	0.3158261203
929	0.3144198785
930	0.3142247274
931	0.3133681004
932	0.3130080534
933	0.3118262434
934	0.3116783982
935	0.3108323867
936	0.3099431345
937	0.3092768704
938	0.3087868979
939	0.3081265768
940	0.3072281625
941	0.3063811678
942	0.3049693869
943	0.3049086115
944	0.303855288
945	0.3036804634
946	0.3029125552
947	0.3022822798
948	0.3009913818
949	0.3003836806
950	0.2994024317
951	0.2985684903
952	0.2974659999
953	0.2961318412
954	0.2951148821
955	0.2940611229
956	0.2927966133
957	0.2918669127
958	0.2908198595
959	0.2899504939
960	0.2897669681
961	0.288843967
962	0.2881293979
963	0.2876310524
964	0.2869487157
965	0.286098995
966	0.285376853
967	0.2852904035
968	0.2849197594
969	0.2847073431
970	0.2834854208
971	0.2825012441
972	0.2814004822
973	0.281093076
974	0.2808789792
975	0.2796231357
976	0.2789472141
977	0.2788087594
978	0.2782767457
979	0.2771607514
980	0.2761392184
981	0.2752992135
982	0.2747374858
983	0.2740788911
984	0.2736533578
985	0.2733229725
986	0.272869559
987	0.2720211273
988	0.2715926365
989	0.2713893062
990	0.270896174
991	0.2701384202
992	0.2689340852
993	0.2684940378
994	0.2676811738
995	0.2668665171
996	0.266264309
997	0.2656137067
998	0.2647343642
999	0.2637455208
9	0.2136728745
