iter	Passed	Remaining
408	4971	7183
409	4981	7169
410	4993	7156
411	5005	7144
412	5021	7136
413	5040	7134
414	5057	7128
415	5066	7113
416	5074	7095
417	5084	7079
418	5092	7060
419	5100	7043
420	5108	7025
421	5119	7012
422	5128	6995
423	5135	6977
424	5143	6959
425	5153	6944
426	5160	6925
427	5169	6908
428	5176	6890
429	5185	6873
430	5193	6856
431	5209	6848
432	5225	6842
433	5234	6827
434	5244	6811
435	5251	6793
436	5261	6778
437	5270	6762
438	5279	6746
439	5288	6730
440	5296	6713
441	5304	6696
442	5312	6679
443	5324	6667
444	5333	6652
445	5341	6635
446	5349	6617
447	5361	6606
448	5369	6589
449	5380	6575
450	5387	6558
451	5399	6545
452	5410	6532
453	5421	6520
454	5430	6504
455	5439	6489
456	5447	6472
457	5457	6458
458	5466	6443
459	5477	6430
460	5485	6413
461	5493	6397
462	5501	6380
463	5510	6366
464	5525	6356
465	5534	6341
466	5543	6327
467	5551	6310
468	5560	6295
469	5568	6279
470	5577	6263
471	5586	6249
472	5598	6237
473	5609	6225
474	5619	6211
475	5629	6197
476	5639	6183
477	5648	6168
478	5657	6153
479	5665	6137
480	5674	6123
481	5685	6110
482	5693	6094
483	5703	6080
484	5710	6063
485	5722	6052
486	5733	6040
487	5749	6032
488	5759	6018
489	5772	6008
490	5782	5993
491	5794	5983
492	5807	5971
493	5816	5957
494	5826	5944
495	5834	5928
496	5844	5914
497	5850	5897
498	5859	5882
499	5869	5869
500	5877	5853
501	5887	5840
502	5901	5830
503	5909	5815
504	5918	5801
505	5930	5790
506	5944	5780
507	5956	5768
508	5965	5754
509	5974	5740
510	5985	5728
511	5993	5712
512	6005	5701
513	6013	5686
514	6023	5672
515	6031	5657
516	6041	5643
517	6051	5631
518	6061	5617
519	6068	5602
520	6076	5587
521	6086	5573
522	6094	5558
523	6103	5544
524	6111	5529
525	6122	5517
526	6130	5502
527	6138	5487
528	6146	5472
529	6155	5458
530	6163	5444
531	6172	5430
532	6185	5419
533	6206	5416
534	6223	5409
535	6239	5401
536	6247	5386
537	6255	5371
538	6264	5357
539	6273	5344
540	6281	5329
541	6291	5316
542	6299	5301
543	6308	5287
544	6320	5276
545	6329	5263
546	6338	5249
547	6346	5234
548	6356	5221
549	6365	5207
550	6377	5196
551	6390	5186
552	6398	5172
553	6408	5159
554	6422	5149
555	6430	5135
556	6441	5123
557	6453	5112
558	6463	5099
559	6473	5086
560	6483	5073
561	6491	5059
562	6507	5050
563	6516	5037
564	6528	5026
565	6537	5012
566	6544	4998
567	6555	4985
568	6563	4971
569	6575	4960
570	6588	4950
571	6597	4936
572	6609	4925
573	6618	4912
574	6628	4899
575	6637	4886
576	6646	4872
577	6656	4859
578	6665	4846
579	6675	4834
580	6684	4820
581	6692	4806
582	6701	4793
583	6711	4780
584	6724	4770
585	6734	4757
586	6747	4747
587	6755	4733
588	6772	4725
589	6786	4716
590	6797	4704
591	6805	4690
592	6817	4679
593	6825	4665
594	6834	4651
595	6843	4639
596	6851	4625
597	6862	4612
598	6869	4599
599	6876	4584
600	6884	4570
601	6892	4557
602	6904	4545
603	6919	4536
604	6932	4526
605	6943	4514
606	6952	4501
607	6961	4488
608	6977	4479
609	6984	4465
610	6993	4452
611	7002	4439
612	7010	4425
613	7022	4414
614	7032	4402
615	7040	4389
616	7049	4375
617	7057	4362
618	7065	4349
619	7073	4335
620	7082	4322
621	7092	4310
622	7100	4296
623	7109	4283
624	7119	4271
625	7128	4258
626	7137	4246
627	7145	4232
628	7153	4219
629	7174	4213
630	7186	4202
631	7194	4189
632	7202	4175
633	7210	4162
634	7226	4153
635	7237	4142
636	7247	4130
637	7256	4117
638	7264	4104
639	7273	4091
640	7280	4077
641	7288	4064
642	7296	4051
643	7306	4038
644	7313	4025
645	7327	4015
646	7334	4001
647	7342	3988
648	7351	3976
649	7368	3967
650	7377	3955
651	7386	3942
652	7394	3929
653	7402	3916
654	7409	3902
655	7420	3891
656	7431	3879
657	7439	3866
658	7449	3854
659	7456	3841
660	7468	3830
661	7483	3820
662	7493	3808
663	7501	3796
664	7509	3782
665	7521	3772
666	7529	3759
667	7537	3746
668	7546	3733
669	7555	3721
670	7566	3709
671	7574	3697
672	7587	3686
673	7596	3674
674	7604	3661
675	7612	3648
676	7627	3638
677	7633	3625
678	7643	3613
679	7651	3600
680	7659	3587
681	7668	3575
682	7678	3563
683	7686	3551
684	7696	3539
685	7704	3526
686	7712	3513
687	7727	3504
688	7740	3493
689	7756	3484
690	7771	3475
691	7785	3465
692	7791	3451
693	7800	3439
694	7810	3427
695	7822	3416
696	7831	3404
697	7838	3391
698	7847	3379
699	7856	3367
700	7864	3354
701	7872	3341
702	7886	3331
703	7895	3319
704	7907	3308
705	7917	3297
706	7927	3285
707	7940	3274
708	7951	3263
709	7960	3251
710	7972	3240
711	7981	3228
712	7989	3216
713	7997	3203
714	8006	3191
715	8017	3180
716	8027	3168
717	8036	3156
718	8044	3143
719	8052	3131
720	8062	3119
721	8070	3107
722	8079	3095
723	8088	3083
724	8097	3071
725	8105	3058
726	8112	3046
727	8124	3035
728	8132	3023
729	8144	3012
730	8159	3002
731	8174	2993
732	8184	2981
733	8192	2968
734	8202	2957
735	8211	2945
736	8220	2933
737	8230	2921
738	8238	2909
739	8246	2897
740	8254	2885
741	8262	2873
742	8271	2861
743	8279	2848
744	8287	2836
745	8294	2824
746	8302	2812
747	8311	2800
748	8320	2788
749	8328	2776
750	8337	2764
751	8351	2754
752	8359	2742
753	8369	2730
754	8377	2718
755	8386	2706
756	8397	2695
757	8404	2683
758	8412	2671
759	8424	2660
760	8431	2648
761	8440	2636
762	8450	2624
763	8463	2614
764	8477	2604
765	8490	2593
766	8502	2582
767	8511	2571
768	8524	2560
769	8532	2548
770	8545	2538
771	8553	2526
772	8566	2515
773	8576	2504
774	8584	2492
775	8594	2480
776	8606	2470
777	8614	2458
778	8625	2447
779	8634	2435
780	8643	2423
781	8652	2412
782	8663	2401
783	8672	2389
784	8682	2378
785	8691	2366
786	8700	2354
787	8709	2343
788	8724	2333
789	8733	2321
790	8749	2311
791	8773	2304
792	8787	2293
793	8796	2282
794	8805	2270
795	8812	2258
796	8827	2248
797	8835	2236
798	8844	2224
799	8852	2213
800	8864	2202
801	8874	2191
802	8888	2180
803	8907	2171
804	8925	2162
805	8937	2151
806	8947	2139
807	8960	2129
808	8969	2117
809	8977	2105
810	8987	2094
811	8994	2082
812	9003	2070
813	9012	2059
814	9020	2047
815	9031	2036
816	9040	2025
817	9047	2012
818	9056	2001
819	9068	1990
820	9076	1978
821	9084	1967
822	9093	1955
823	9100	1943
824	9109	1932
825	9116	1920
826	9136	1911
827	9150	1900
828	9159	1889
829	9168	1877
830	9178	1866
831	9185	1854
832	9195	1843
833	9214	1834
834	9242	1826
835	9266	1817
836	9272	1805
837	9282	1794
838	9293	1783
839	9303	1772
840	9312	1760
841	9344	1753
842	9356	1742
843	9365	1730
844	9376	1719
845	9386	1708
846	9395	1697
847	9405	1685
848	9414	1674
849	9428	1663
850	9446	1653
851	9454	1642
852	9463	1630
853	9471	1619
854	9479	1607
855	9488	1596
856	9498	1584
857	9508	1573
858	9517	1562
859	9528	1551
860	9542	1540
861	9553	1529
862	9562	1517
863	9571	1506
864	9580	1495
865	9588	1483
866	9597	1472
867	9607	1461
868	9615	1449
869	9626	1438
870	9634	1426
871	9644	1415
872	9652	1404
873	9659	1392
874	9668	1381
875	9686	1371
876	9708	1361
877	9737	1353
878	9749	1342
879	9768	1332
880	9781	1321
881	9790	1309
882	9798	1298
883	9805	1286
884	9814	1275
885	9822	1263
886	9834	1252
887	9846	1241
888	9856	1230
889	9865	1219
890	9876	1208
891	9884	1196
892	9891	1185
893	9900	1173
894	9908	1162
895	9918	1151
896	9937	1141
897	9946	1129
898	9954	1118
899	9962	1106
900	9971	1095
901	9981	1084
902	9989	1073
903	10000	1061
904	10008	1050
905	10016	1039
906	10024	1027
907	10037	1017
908	10046	1005
909	10054	994
910	10063	983
911	10071	971
912	10079	960
913	10086	949
914	10095	937
915	10107	926
916	10119	915
917	10136	905
918	10145	894
919	10153	882
920	10163	871
921	10171	860
922	10180	849
923	10189	838
924	10196	826
925	10205	815
926	10214	804
927	10222	793
928	10232	782
929	10241	770
930	10249	759
931	10257	748
932	10264	737
933	10273	725
934	10283	714
935	10292	703
936	10304	692
937	10318	682
938	10334	671
939	10343	660
940	10350	648
941	10360	637
942	10371	626
943	10379	615
944	10388	604
945	10396	593
946	10405	582
947	10417	571
948	10430	560
949	10439	549
950	10447	538
951	10454	527
952	10463	516
953	10472	504
954	10481	493
955	10488	482
956	10496	471
957	10505	460
958	10520	449
959	10534	438
960	10543	427
961	10552	416
962	10560	405
963	10570	394
964	10579	383
965	10589	372
966	10596	361
967	10603	350
968	10615	339
969	10625	328
970	10635	317
971	10643	306
972	10651	295
973	10659	284
974	10668	273
975	10678	262
976	10685	251
977	10693	240
978	10704	229
979	10720	218
980	10731	207
981	10739	196
982	10750	185
983	10762	175
984	10775	164
985	10786	153
986	10797	142
987	10803	131
988	10809	120
989	10815	109
990	10824	98
991	10831	87
992	10839	76
993	10855	65
994	10862	54
995	10868	43
996	10873	32
997	10878	21
998	10884	10
999	10890	0
